loss,iteration
-0.15782529210827,0
0.2118369087908003,1
0.09293304888324605,2
-0.034888493259333894,3
-0.10531202937993739,4
0.06832595128979943,5
-0.1924124498075495,6
0.4118170734246572,7
0.141843088451359,8
-0.27628563361863295,10
-0.08065763509107961,11
0.10392927665030584,13
-0.20517257056302485,14
0.13283152374956342,15
-0.016915398711959517,16
-0.004431146873782044,17
-0.08320512729826282,18
-0.3585682929555575,19
0.12546974304649566,21
-0.36172818703783893,22
-0.4122491154074669,23
-0.3116680629385842,24
-0.049108699262142175,25
0.00560614713364177,26
-0.294850800798999,27
-0.0005887915525171483,28
0.10614297446277407,29
0.08574390387563552,30
-0.35682804304692484,31
0.11148664653215544,32
0.08115563144286472,33
0.027426814315840597,34
-0.28884492986732063,35
-0.06117728978395459,36
-0.04761146844933847,37
0.27019779410627154,38
-0.10630658639387953,39
0.004247633450561089,40
0.1471122803024223,41
0.04889949571755196,42
0.13904861020803866,43
0.05363441825740867,44
-0.3607920200957192,45
0.10520597697960005,46
-0.34712701939874224,47
0.01182870127066657,48
-0.2769034474632806,49
0.35482635882165703,50
0.03387619919764495,51
-0.36322439134120943,52
0.050670672108729664,53
-0.09659858079006275,54
0.017415614326794948,55
-0.33028504812676046,56
0.001265288160906916,57
0.06800516858283018,58
0.07066514867875312,59
0.11370600298047068,60
-0.15951909482634313,61
-0.27187215572223067,62
-0.14467247251007295,63
-0.2061749488115311,64
-0.40328407607144773,65
-0.31397561993863854,66
-0.0015257844328880055,67
-0.40512663076321287,68
-0.3507036434941822,69
0.040808412035306274,70
-0.3320008479224311,71
0.019248425099584784,72
-0.054918340660321224,73
-0.09292592552800977,74
-0.26129216686305073,75
-0.2408512410707772,76
-0.03034853339195248,77
-0.022049866478385693,78
-0.3171746115634839,79
0.012016577174266213,80
-0.3299946962131395,81
-0.3222627554792497,82
0.10943287053248948,83
0.10238928430610231,84
-0.037660330892799215,85
-0.10624148051823595,86
-0.35402414992451664,87
-0.08306772452261718,88
-0.0964227115487059,89
-0.026166198800007534,90
-0.25382169488248313,91
-0.04607611238956466,92
-0.028166522979736347,93
0.011865447958310404,94
-0.28676332765155366,95
-0.07683252203795646,96
-0.3483673107044564,98
-0.40759190195136596,99
